vv,vh,dem,pwater,label,water_percent
data\chips\VV\013_01.tif,data\chips\VH\013_01.tif,data\dem\013_01.tif,data\pwater\013_01.tif,data\labels\013_01.tif,2.35443115234375
data\chips\VV\013_10.tif,data\chips\VH\013_10.tif,data\dem\013_10.tif,data\pwater\013_10.tif,data\labels\013_10.tif,1.0711669921875
data\chips\VV\013_11.tif,data\chips\VH\013_11.tif,data\dem\013_11.tif,data\pwater\013_11.tif,data\labels\013_11.tif,1.3092041015625
data\chips\VV\014_00.tif,data\chips\VH\014_00.tif,data\dem\014_00.tif,data\pwater\014_00.tif,data\labels\014_00.tif,19.35577392578125
data\chips\VV\014_01.tif,data\chips\VH\014_01.tif,data\dem\014_01.tif,data\pwater\014_01.tif,data\labels\014_01.tif,27.72979736328125
data\chips\VV\014_10.tif,data\chips\VH\014_10.tif,data\dem\014_10.tif,data\pwater\014_10.tif,data\labels\014_10.tif,9.2803955078125
data\chips\VV\014_11.tif,data\chips\VH\014_11.tif,data\dem\014_11.tif,data\pwater\014_11.tif,data\labels\014_11.tif,17.315673828125
data\chips\VV\016_10.tif,data\chips\VH\016_10.tif,data\dem\016_10.tif,data\pwater\016_10.tif,data\labels\016_10.tif,28.97186279296875
data\chips\VV\016_11.tif,data\chips\VH\016_11.tif,data\dem\016_11.tif,data\pwater\016_11.tif,data\labels\016_11.tif,25.048828125
data\chips\VV\017_00.tif,data\chips\VH\017_00.tif,data\dem\017_00.tif,data\pwater\017_00.tif,data\labels\017_00.tif,4.39605712890625
data\chips\VV\017_10.tif,data\chips\VH\017_10.tif,data\dem\017_10.tif,data\pwater\017_10.tif,data\labels\017_10.tif,4.06951904296875
data\chips\VV\018_00.tif,data\chips\VH\018_00.tif,data\dem\018_00.tif,data\pwater\018_00.tif,data\labels\018_00.tif,4.95147705078125
data\chips\VV\018_01.tif,data\chips\VH\018_01.tif,data\dem\018_01.tif,data\pwater\018_01.tif,data\labels\018_01.tif,3.02886962890625
data\chips\VV\018_10.tif,data\chips\VH\018_10.tif,data\dem\018_10.tif,data\pwater\018_10.tif,data\labels\018_10.tif,2.4871826171875
data\chips\VV\018_11.tif,data\chips\VH\018_11.tif,data\dem\018_11.tif,data\pwater\018_11.tif,data\labels\018_11.tif,1.93023681640625
data\chips\VV\021_00.tif,data\chips\VH\021_00.tif,data\dem\021_00.tif,data\pwater\021_00.tif,data\labels\021_00.tif,1.24969482421875
data\chips\VV\021_10.tif,data\chips\VH\021_10.tif,data\dem\021_10.tif,data\pwater\021_10.tif,data\labels\021_10.tif,2.1484375
data\chips\VV\021_11.tif,data\chips\VH\021_11.tif,data\dem\021_11.tif,data\pwater\021_11.tif,data\labels\021_11.tif,4.69512939453125
data\chips\VV\022_00.tif,data\chips\VH\022_00.tif,data\dem\022_00.tif,data\pwater\022_00.tif,data\labels\022_00.tif,6.67266845703125
data\chips\VV\022_01.tif,data\chips\VH\022_01.tif,data\dem\022_01.tif,data\pwater\022_01.tif,data\labels\022_01.tif,3.28826904296875
data\chips\VV\022_11.tif,data\chips\VH\022_11.tif,data\dem\022_11.tif,data\pwater\022_11.tif,data\labels\022_11.tif,2.67181396484375
data\chips\VV\023_00.tif,data\chips\VH\023_00.tif,data\dem\023_00.tif,data\pwater\023_00.tif,data\labels\023_00.tif,8.89739990234375
data\chips\VV\023_01.tif,data\chips\VH\023_01.tif,data\dem\023_01.tif,data\pwater\023_01.tif,data\labels\023_01.tif,3.8665771484375
data\chips\VV\023_10.tif,data\chips\VH\023_10.tif,data\dem\023_10.tif,data\pwater\023_10.tif,data\labels\023_10.tif,13.8397216796875
data\chips\VV\024_01.tif,data\chips\VH\024_01.tif,data\dem\024_01.tif,data\pwater\024_01.tif,data\labels\024_01.tif,2.7496337890625
data\chips\VV\024_10.tif,data\chips\VH\024_10.tif,data\dem\024_10.tif,data\pwater\024_10.tif,data\labels\024_10.tif,29.7332763671875
data\chips\VV\024_11.tif,data\chips\VH\024_11.tif,data\dem\024_11.tif,data\pwater\024_11.tif,data\labels\024_11.tif,9.60235595703125
data\chips\VV\025_00.tif,data\chips\VH\025_00.tif,data\dem\025_00.tif,data\pwater\025_00.tif,data\labels\025_00.tif,5.27801513671875
data\chips\VV\025_01.tif,data\chips\VH\025_01.tif,data\dem\025_01.tif,data\pwater\025_01.tif,data\labels\025_01.tif,1.60675048828125
data\chips\VV\025_10.tif,data\chips\VH\025_10.tif,data\dem\025_10.tif,data\pwater\025_10.tif,data\labels\025_10.tif,7.50885009765625
data\chips\VV\026_00.tif,data\chips\VH\026_00.tif,data\dem\026_00.tif,data\pwater\026_00.tif,data\labels\026_00.tif,2.71148681640625
data\chips\VV\026_01.tif,data\chips\VH\026_01.tif,data\dem\026_01.tif,data\pwater\026_01.tif,data\labels\026_01.tif,1.28936767578125
data\chips\VV\026_10.tif,data\chips\VH\026_10.tif,data\dem\026_10.tif,data\pwater\026_10.tif,data\labels\026_10.tif,4.302978515625
data\chips\VV\026_11.tif,data\chips\VH\026_11.tif,data\dem\026_11.tif,data\pwater\026_11.tif,data\labels\026_11.tif,1.0711669921875
data\chips\VV\027_00.tif,data\chips\VH\027_00.tif,data\dem\027_00.tif,data\pwater\027_00.tif,data\labels\027_00.tif,20.697021484375
data\chips\VV\027_01.tif,data\chips\VH\027_01.tif,data\dem\027_01.tif,data\pwater\027_01.tif,data\labels\027_01.tif,14.06097412109375
data\chips\VV\027_10.tif,data\chips\VH\027_10.tif,data\dem\027_10.tif,data\pwater\027_10.tif,data\labels\027_10.tif,1.58843994140625
data\chips\VV\027_11.tif,data\chips\VH\027_11.tif,data\dem\027_11.tif,data\pwater\027_11.tif,data\labels\027_11.tif,2.72979736328125
data\chips\VV\028_00.tif,data\chips\VH\028_00.tif,data\dem\028_00.tif,data\pwater\028_00.tif,data\labels\028_00.tif,24.71466064453125
data\chips\VV\028_01.tif,data\chips\VH\028_01.tif,data\dem\028_01.tif,data\pwater\028_01.tif,data\labels\028_01.tif,11.73095703125
data\chips\VV\029_00.tif,data\chips\VH\029_00.tif,data\dem\029_00.tif,data\pwater\029_00.tif,data\labels\029_00.tif,9.4329833984375
data\chips\VV\029_01.tif,data\chips\VH\029_01.tif,data\dem\029_01.tif,data\pwater\029_01.tif,data\labels\029_01.tif,1.702880859375
data\chips\VV\030_10.tif,data\chips\VH\030_10.tif,data\dem\030_10.tif,data\pwater\030_10.tif,data\labels\030_10.tif,29.4158935546875
data\chips\VV\030_11.tif,data\chips\VH\030_11.tif,data\dem\030_11.tif,data\pwater\030_11.tif,data\labels\030_11.tif,5.79376220703125
data\chips\VV\031_01.tif,data\chips\VH\031_01.tif,data\dem\031_01.tif,data\pwater\031_01.tif,data\labels\031_01.tif,7.00836181640625
data\chips\VV\031_10.tif,data\chips\VH\031_10.tif,data\dem\031_10.tif,data\pwater\031_10.tif,data\labels\031_10.tif,14.764404296875
data\chips\VV\031_11.tif,data\chips\VH\031_11.tif,data\dem\031_11.tif,data\pwater\031_11.tif,data\labels\031_11.tif,12.22991943359375
data\chips\VV\032_00.tif,data\chips\VH\032_00.tif,data\dem\032_00.tif,data\pwater\032_00.tif,data\labels\032_00.tif,1.165771484375
data\chips\VV\033_00.tif,data\chips\VH\033_00.tif,data\dem\033_00.tif,data\pwater\033_00.tif,data\labels\033_00.tif,1.2481689453125
data\chips\VV\033_01.tif,data\chips\VH\033_01.tif,data\dem\033_01.tif,data\pwater\033_01.tif,data\labels\033_01.tif,1.21612548828125
data\chips\VV\033_10.tif,data\chips\VH\033_10.tif,data\dem\033_10.tif,data\pwater\033_10.tif,data\labels\033_10.tif,4.7515869140625
data\chips\VV\033_11.tif,data\chips\VH\033_11.tif,data\dem\033_11.tif,data\pwater\033_11.tif,data\labels\033_11.tif,2.79388427734375
data\chips\VV\036_00.tif,data\chips\VH\036_00.tif,data\dem\036_00.tif,data\pwater\036_00.tif,data\labels\036_00.tif,1.20849609375
data\chips\VV\037_01.tif,data\chips\VH\037_01.tif,data\dem\037_01.tif,data\pwater\037_01.tif,data\labels\037_01.tif,22.54791259765625
data\chips\VV\039_00.tif,data\chips\VH\039_00.tif,data\dem\039_00.tif,data\pwater\039_00.tif,data\labels\039_00.tif,1.85089111328125
data\chips\VV\039_10.tif,data\chips\VH\039_10.tif,data\dem\039_10.tif,data\pwater\039_10.tif,data\labels\039_10.tif,3.8726806640625
data\chips\VV\040_00.tif,data\chips\VH\040_00.tif,data\dem\040_00.tif,data\pwater\040_00.tif,data\labels\040_00.tif,2.7862548828125
data\chips\VV\042_00.tif,data\chips\VH\042_00.tif,data\dem\042_00.tif,data\pwater\042_00.tif,data\labels\042_00.tif,11.3006591796875
data\chips\VV\042_01.tif,data\chips\VH\042_01.tif,data\dem\042_01.tif,data\pwater\042_01.tif,data\labels\042_01.tif,18.42041015625
data\chips\VV\042_10.tif,data\chips\VH\042_10.tif,data\dem\042_10.tif,data\pwater\042_10.tif,data\labels\042_10.tif,4.8614501953125
data\chips\VV\042_11.tif,data\chips\VH\042_11.tif,data\dem\042_11.tif,data\pwater\042_11.tif,data\labels\042_11.tif,19.3267822265625
data\chips\VV\043_00.tif,data\chips\VH\043_00.tif,data\dem\043_00.tif,data\pwater\043_00.tif,data\labels\043_00.tif,6.2042236328125
data\chips\VV\043_01.tif,data\chips\VH\043_01.tif,data\dem\043_01.tif,data\pwater\043_01.tif,data\labels\043_01.tif,1.65863037109375
data\chips\VV\043_10.tif,data\chips\VH\043_10.tif,data\dem\043_10.tif,data\pwater\043_10.tif,data\labels\043_10.tif,5.4046630859375
data\chips\VV\043_11.tif,data\chips\VH\043_11.tif,data\dem\043_11.tif,data\pwater\043_11.tif,data\labels\043_11.tif,1.36871337890625
data\chips\VV\044_00.tif,data\chips\VH\044_00.tif,data\dem\044_00.tif,data\pwater\044_00.tif,data\labels\044_00.tif,1.544189453125
data\chips\VV\044_01.tif,data\chips\VH\044_01.tif,data\dem\044_01.tif,data\pwater\044_01.tif,data\labels\044_01.tif,2.02484130859375
data\chips\VV\044_10.tif,data\chips\VH\044_10.tif,data\dem\044_10.tif,data\pwater\044_10.tif,data\labels\044_10.tif,4.2724609375
data\chips\VV\044_11.tif,data\chips\VH\044_11.tif,data\dem\044_11.tif,data\pwater\044_11.tif,data\labels\044_11.tif,6.9061279296875
data\chips\VV\045_11.tif,data\chips\VH\045_11.tif,data\dem\045_11.tif,data\pwater\045_11.tif,data\labels\045_11.tif,22.78289794921875
data\chips\VV\047_10.tif,data\chips\VH\047_10.tif,data\dem\047_10.tif,data\pwater\047_10.tif,data\labels\047_10.tif,6.8023681640625
data\chips\VV\047_11.tif,data\chips\VH\047_11.tif,data\dem\047_11.tif,data\pwater\047_11.tif,data\labels\047_11.tif,5.49774169921875
data\chips\VV\048_11.tif,data\chips\VH\048_11.tif,data\dem\048_11.tif,data\pwater\048_11.tif,data\labels\048_11.tif,1.2176513671875
data\chips\VV\049_00.tif,data\chips\VH\049_00.tif,data\dem\049_00.tif,data\pwater\049_00.tif,data\labels\049_00.tif,14.37225341796875
data\chips\VV\049_11.tif,data\chips\VH\049_11.tif,data\dem\049_11.tif,data\pwater\049_11.tif,data\labels\049_11.tif,14.6514892578125
data\chips\VV\050_00.tif,data\chips\VH\050_00.tif,data\dem\050_00.tif,data\pwater\050_00.tif,data\labels\050_00.tif,29.302978515625
data\chips\VV\050_10.tif,data\chips\VH\050_10.tif,data\dem\050_10.tif,data\pwater\050_10.tif,data\labels\050_10.tif,21.0205078125
data\chips\VV\050_11.tif,data\chips\VH\050_11.tif,data\dem\050_11.tif,data\pwater\050_11.tif,data\labels\050_11.tif,19.525146484375
data\chips\VV\051_11.tif,data\chips\VH\051_11.tif,data\dem\051_11.tif,data\pwater\051_11.tif,data\labels\051_11.tif,1.39617919921875
data\chips\VV\052_11.tif,data\chips\VH\052_11.tif,data\dem\052_11.tif,data\pwater\052_11.tif,data\labels\052_11.tif,3.83453369140625
data\chips\VV\053_00.tif,data\chips\VH\053_00.tif,data\dem\053_00.tif,data\pwater\053_00.tif,data\labels\053_00.tif,7.01141357421875
data\chips\VV\053_01.tif,data\chips\VH\053_01.tif,data\dem\053_01.tif,data\pwater\053_01.tif,data\labels\053_01.tif,4.2724609375
data\chips\VV\053_10.tif,data\chips\VH\053_10.tif,data\dem\053_10.tif,data\pwater\053_10.tif,data\labels\053_10.tif,4.522705078125
data\chips\VV\053_11.tif,data\chips\VH\053_11.tif,data\dem\053_11.tif,data\pwater\053_11.tif,data\labels\053_11.tif,4.43115234375
data\chips\VV\054_10.tif,data\chips\VH\054_10.tif,data\dem\054_10.tif,data\pwater\054_10.tif,data\labels\054_10.tif,13.64898681640625
data\chips\VV\054_11.tif,data\chips\VH\054_11.tif,data\dem\054_11.tif,data\pwater\054_11.tif,data\labels\054_11.tif,11.9415283203125
data\chips\VV\055_00.tif,data\chips\VH\055_00.tif,data\dem\055_00.tif,data\pwater\055_00.tif,data\labels\055_00.tif,20.7611083984375
data\chips\VV\055_01.tif,data\chips\VH\055_01.tif,data\dem\055_01.tif,data\pwater\055_01.tif,data\labels\055_01.tif,16.86859130859375
data\chips\VV\055_10.tif,data\chips\VH\055_10.tif,data\dem\055_10.tif,data\pwater\055_10.tif,data\labels\055_10.tif,22.37396240234375
data\chips\VV\055_11.tif,data\chips\VH\055_11.tif,data\dem\055_11.tif,data\pwater\055_11.tif,data\labels\055_11.tif,14.45770263671875
data\chips\VV\056_00.tif,data\chips\VH\056_00.tif,data\dem\056_00.tif,data\pwater\056_00.tif,data\labels\056_00.tif,11.47003173828125
data\chips\VV\056_01.tif,data\chips\VH\056_01.tif,data\dem\056_01.tif,data\pwater\056_01.tif,data\labels\056_01.tif,19.34356689453125
data\chips\VV\056_10.tif,data\chips\VH\056_10.tif,data\dem\056_10.tif,data\pwater\056_10.tif,data\labels\056_10.tif,8.2977294921875
data\chips\VV\056_11.tif,data\chips\VH\056_11.tif,data\dem\056_11.tif,data\pwater\056_11.tif,data\labels\056_11.tif,11.47003173828125
data\chips\VV\057_00.tif,data\chips\VH\057_00.tif,data\dem\057_00.tif,data\pwater\057_00.tif,data\labels\057_00.tif,14.5263671875
data\chips\VV\057_01.tif,data\chips\VH\057_01.tif,data\dem\057_01.tif,data\pwater\057_01.tif,data\labels\057_01.tif,15.23895263671875
data\chips\VV\057_10.tif,data\chips\VH\057_10.tif,data\dem\057_10.tif,data\pwater\057_10.tif,data\labels\057_10.tif,5.54351806640625
data\chips\VV\058_00.tif,data\chips\VH\058_00.tif,data\dem\058_00.tif,data\pwater\058_00.tif,data\labels\058_00.tif,6.817626953125
data\chips\VV\058_10.tif,data\chips\VH\058_10.tif,data\dem\058_10.tif,data\pwater\058_10.tif,data\labels\058_10.tif,5.34210205078125
data\chips\VV\058_11.tif,data\chips\VH\058_11.tif,data\dem\058_11.tif,data\pwater\058_11.tif,data\labels\058_11.tif,12.11395263671875
data\chips\VV\059_00.tif,data\chips\VH\059_00.tif,data\dem\059_00.tif,data\pwater\059_00.tif,data\labels\059_00.tif,11.5570068359375
data\chips\VV\059_01.tif,data\chips\VH\059_01.tif,data\dem\059_01.tif,data\pwater\059_01.tif,data\labels\059_01.tif,13.2476806640625
data\chips\VV\059_10.tif,data\chips\VH\059_10.tif,data\dem\059_10.tif,data\pwater\059_10.tif,data\labels\059_10.tif,10.6536865234375
data\chips\VV\059_11.tif,data\chips\VH\059_11.tif,data\dem\059_11.tif,data\pwater\059_11.tif,data\labels\059_11.tif,17.6177978515625
data\chips\VV\060_00.tif,data\chips\VH\060_00.tif,data\dem\060_00.tif,data\pwater\060_00.tif,data\labels\060_00.tif,23.3489990234375
data\chips\VV\060_11.tif,data\chips\VH\060_11.tif,data\dem\060_11.tif,data\pwater\060_11.tif,data\labels\060_11.tif,9.271240234375
data\chips\VV\061_00.tif,data\chips\VH\061_00.tif,data\dem\061_00.tif,data\pwater\061_00.tif,data\labels\061_00.tif,18.5150146484375
data\chips\VV\061_01.tif,data\chips\VH\061_01.tif,data\dem\061_01.tif,data\pwater\061_01.tif,data\labels\061_01.tif,21.98638916015625
data\chips\VV\061_10.tif,data\chips\VH\061_10.tif,data\dem\061_10.tif,data\pwater\061_10.tif,data\labels\061_10.tif,16.4642333984375
data\chips\VV\061_11.tif,data\chips\VH\061_11.tif,data\dem\061_11.tif,data\pwater\061_11.tif,data\labels\061_11.tif,12.2955322265625
data\chips\VV\062_00.tif,data\chips\VH\062_00.tif,data\dem\062_00.tif,data\pwater\062_00.tif,data\labels\062_00.tif,6.70318603515625
data\chips\VV\062_01.tif,data\chips\VH\062_01.tif,data\dem\062_01.tif,data\pwater\062_01.tif,data\labels\062_01.tif,7.2540283203125
data\chips\VV\062_10.tif,data\chips\VH\062_10.tif,data\dem\062_10.tif,data\pwater\062_10.tif,data\labels\062_10.tif,4.29534912109375
data\chips\VV\063_10.tif,data\chips\VH\063_10.tif,data\dem\063_10.tif,data\pwater\063_10.tif,data\labels\063_10.tif,22.44415283203125
data\chips\VV\064_00.tif,data\chips\VH\064_00.tif,data\dem\064_00.tif,data\pwater\064_00.tif,data\labels\064_00.tif,10.16387939453125
data\chips\VV\064_01.tif,data\chips\VH\064_01.tif,data\dem\064_01.tif,data\pwater\064_01.tif,data\labels\064_01.tif,2.5146484375
data\chips\VV\064_10.tif,data\chips\VH\064_10.tif,data\dem\064_10.tif,data\pwater\064_10.tif,data\labels\064_10.tif,13.0615234375
data\chips\VV\064_11.tif,data\chips\VH\064_11.tif,data\dem\064_11.tif,data\pwater\064_11.tif,data\labels\064_11.tif,1.513671875
data\chips\VV\065_01.tif,data\chips\VH\065_01.tif,data\dem\065_01.tif,data\pwater\065_01.tif,data\labels\065_01.tif,22.19085693359375
data\chips\VV\065_11.tif,data\chips\VH\065_11.tif,data\dem\065_11.tif,data\pwater\065_11.tif,data\labels\065_11.tif,4.48455810546875
data\chips\VV\066_00.tif,data\chips\VH\066_00.tif,data\dem\066_00.tif,data\pwater\066_00.tif,data\labels\066_00.tif,6.38427734375
data\chips\VV\066_01.tif,data\chips\VH\066_01.tif,data\dem\066_01.tif,data\pwater\066_01.tif,data\labels\066_01.tif,2.98004150390625
data\chips\VV\067_00.tif,data\chips\VH\067_00.tif,data\dem\067_00.tif,data\pwater\067_00.tif,data\labels\067_00.tif,3.7689208984375
data\chips\VV\069_01.tif,data\chips\VH\069_01.tif,data\dem\069_01.tif,data\pwater\069_01.tif,data\labels\069_01.tif,3.0670166015625
data\chips\VV\070_00.tif,data\chips\VH\070_00.tif,data\dem\070_00.tif,data\pwater\070_00.tif,data\labels\070_00.tif,1.4678955078125
data\chips\VV\072_10.tif,data\chips\VH\072_10.tif,data\dem\072_10.tif,data\pwater\072_10.tif,data\labels\072_10.tif,14.2333984375
data\chips\VV\072_11.tif,data\chips\VH\072_11.tif,data\dem\072_11.tif,data\pwater\072_11.tif,data\labels\072_11.tif,19.48394775390625
data\chips\VV\076_10.tif,data\chips\VH\076_10.tif,data\dem\076_10.tif,data\pwater\076_10.tif,data\labels\076_10.tif,4.974365234375
data\chips\VV\079_00.tif,data\chips\VH\079_00.tif,data\dem\079_00.tif,data\pwater\079_00.tif,data\labels\079_00.tif,25.07171630859375
data\chips\VV\079_01.tif,data\chips\VH\079_01.tif,data\dem\079_01.tif,data\pwater\079_01.tif,data\labels\079_01.tif,8.83331298828125
data\chips\VV\079_11.tif,data\chips\VH\079_11.tif,data\dem\079_11.tif,data\pwater\079_11.tif,data\labels\079_11.tif,18.34564208984375
data\chips\VV\080_00.tif,data\chips\VH\080_00.tif,data\dem\080_00.tif,data\pwater\080_00.tif,data\labels\080_00.tif,1.59454345703125
data\chips\VV\080_10.tif,data\chips\VH\080_10.tif,data\dem\080_10.tif,data\pwater\080_10.tif,data\labels\080_10.tif,5.517578125
data\chips\VV\082_00.tif,data\chips\VH\082_00.tif,data\dem\082_00.tif,data\pwater\082_00.tif,data\labels\082_00.tif,1.2664794921875
data\chips\VV\082_01.tif,data\chips\VH\082_01.tif,data\dem\082_01.tif,data\pwater\082_01.tif,data\labels\082_01.tif,1.37786865234375
data\chips\VV\082_10.tif,data\chips\VH\082_10.tif,data\dem\082_10.tif,data\pwater\082_10.tif,data\labels\082_10.tif,4.376220703125
data\chips\VV\082_11.tif,data\chips\VH\082_11.tif,data\dem\082_11.tif,data\pwater\082_11.tif,data\labels\082_11.tif,4.071044921875
data\chips\VV\084_00.tif,data\chips\VH\084_00.tif,data\dem\084_00.tif,data\pwater\084_00.tif,data\labels\084_00.tif,5.53131103515625
data\chips\VV\085_11.tif,data\chips\VH\085_11.tif,data\dem\085_11.tif,data\pwater\085_11.tif,data\labels\085_11.tif,1.94244384765625
data\chips\VV\086_00.tif,data\chips\VH\086_00.tif,data\dem\086_00.tif,data\pwater\086_00.tif,data\labels\086_00.tif,2.5054931640625
data\chips\VV\086_10.tif,data\chips\VH\086_10.tif,data\dem\086_10.tif,data\pwater\086_10.tif,data\labels\086_10.tif,7.09075927734375
data\chips\VV\086_11.tif,data\chips\VH\086_11.tif,data\dem\086_11.tif,data\pwater\086_11.tif,data\labels\086_11.tif,2.71759033203125
data\chips\VV\087_00.tif,data\chips\VH\087_00.tif,data\dem\087_00.tif,data\pwater\087_00.tif,data\labels\087_00.tif,2.84576416015625
data\chips\VV\087_10.tif,data\chips\VH\087_10.tif,data\dem\087_10.tif,data\pwater\087_10.tif,data\labels\087_10.tif,10.89019775390625
data\chips\VV\087_11.tif,data\chips\VH\087_11.tif,data\dem\087_11.tif,data\pwater\087_11.tif,data\labels\087_11.tif,3.045654296875
data\chips\VV\088_01.tif,data\chips\VH\088_01.tif,data\dem\088_01.tif,data\pwater\088_01.tif,data\labels\088_01.tif,9.42840576171875
data\chips\VV\088_11.tif,data\chips\VH\088_11.tif,data\dem\088_11.tif,data\pwater\088_11.tif,data\labels\088_11.tif,11.31591796875
data\chips\VV\089_00.tif,data\chips\VH\089_00.tif,data\dem\089_00.tif,data\pwater\089_00.tif,data\labels\089_00.tif,9.0911865234375
data\chips\VV\089_10.tif,data\chips\VH\089_10.tif,data\dem\089_10.tif,data\pwater\089_10.tif,data\labels\089_10.tif,1.37481689453125
data\chips\VV\089_11.tif,data\chips\VH\089_11.tif,data\dem\089_11.tif,data\pwater\089_11.tif,data\labels\089_11.tif,1.0955810546875
data\chips\VV\090_00.tif,data\chips\VH\090_00.tif,data\dem\090_00.tif,data\pwater\090_00.tif,data\labels\090_00.tif,3.03802490234375
data\chips\VV\090_01.tif,data\chips\VH\090_01.tif,data\dem\090_01.tif,data\pwater\090_01.tif,data\labels\090_01.tif,1.56402587890625
data\chips\VV\090_10.tif,data\chips\VH\090_10.tif,data\dem\090_10.tif,data\pwater\090_10.tif,data\labels\090_10.tif,16.30859375
data\chips\VV\090_11.tif,data\chips\VH\090_11.tif,data\dem\090_11.tif,data\pwater\090_11.tif,data\labels\090_11.tif,9.17205810546875
