vv,vh,dem,pwater,label,water_percent
data\chips\VV\010_00.tif,data\chips\VH\010_00.tif,data\dem\010_00.tif,data\pwater\010_00.tif,data\labels\010_00.tif,12.66326904296875
data\chips\VV\010_01.tif,data\chips\VH\010_01.tif,data\dem\010_01.tif,data\pwater\010_01.tif,data\labels\010_01.tif,2.05230712890625
data\chips\VV\010_10.tif,data\chips\VH\010_10.tif,data\dem\010_10.tif,data\pwater\010_10.tif,data\labels\010_10.tif,3.3355712890625
data\chips\VV\010_11.tif,data\chips\VH\010_11.tif,data\dem\010_11.tif,data\pwater\010_11.tif,data\labels\010_11.tif,16.5557861328125
data\chips\VV\011_00.tif,data\chips\VH\011_00.tif,data\dem\011_00.tif,data\pwater\011_00.tif,data\labels\011_00.tif,7.25250244140625
data\chips\VV\011_01.tif,data\chips\VH\011_01.tif,data\dem\011_01.tif,data\pwater\011_01.tif,data\labels\011_01.tif,9.2437744140625
data\chips\VV\011_10.tif,data\chips\VH\011_10.tif,data\dem\011_10.tif,data\pwater\011_10.tif,data\labels\011_10.tif,1.72119140625
data\chips\VV\011_11.tif,data\chips\VH\011_11.tif,data\dem\011_11.tif,data\pwater\011_11.tif,data\labels\011_11.tif,5.5816650390625
data\chips\VV\012_00.tif,data\chips\VH\012_00.tif,data\dem\012_00.tif,data\pwater\012_00.tif,data\labels\012_00.tif,4.5013427734375
data\chips\VV\012_01.tif,data\chips\VH\012_01.tif,data\dem\012_01.tif,data\pwater\012_01.tif,data\labels\012_01.tif,3.38592529296875
data\chips\VV\012_10.tif,data\chips\VH\012_10.tif,data\dem\012_10.tif,data\pwater\012_10.tif,data\labels\012_10.tif,3.10821533203125
data\chips\VV\012_11.tif,data\chips\VH\012_11.tif,data\dem\012_11.tif,data\pwater\012_11.tif,data\labels\012_11.tif,2.79388427734375
data\chips\VV\013_00.tif,data\chips\VH\013_00.tif,data\dem\013_00.tif,data\pwater\013_00.tif,data\labels\013_00.tif,0.4638671875
data\chips\VV\013_01.tif,data\chips\VH\013_01.tif,data\dem\013_01.tif,data\pwater\013_01.tif,data\labels\013_01.tif,2.35443115234375
data\chips\VV\013_10.tif,data\chips\VH\013_10.tif,data\dem\013_10.tif,data\pwater\013_10.tif,data\labels\013_10.tif,1.0711669921875
data\chips\VV\013_11.tif,data\chips\VH\013_11.tif,data\dem\013_11.tif,data\pwater\013_11.tif,data\labels\013_11.tif,1.3092041015625
data\chips\VV\014_00.tif,data\chips\VH\014_00.tif,data\dem\014_00.tif,data\pwater\014_00.tif,data\labels\014_00.tif,19.35577392578125
data\chips\VV\014_01.tif,data\chips\VH\014_01.tif,data\dem\014_01.tif,data\pwater\014_01.tif,data\labels\014_01.tif,27.72979736328125
data\chips\VV\014_10.tif,data\chips\VH\014_10.tif,data\dem\014_10.tif,data\pwater\014_10.tif,data\labels\014_10.tif,9.2803955078125
data\chips\VV\014_11.tif,data\chips\VH\014_11.tif,data\dem\014_11.tif,data\pwater\014_11.tif,data\labels\014_11.tif,17.315673828125
data\chips\VV\015_00.tif,data\chips\VH\015_00.tif,data\dem\015_00.tif,data\pwater\015_00.tif,data\labels\015_00.tif,55.40313720703125
data\chips\VV\015_01.tif,data\chips\VH\015_01.tif,data\dem\015_01.tif,data\pwater\015_01.tif,data\labels\015_01.tif,52.81524658203125
data\chips\VV\015_10.tif,data\chips\VH\015_10.tif,data\dem\015_10.tif,data\pwater\015_10.tif,data\labels\015_10.tif,47.607421875
data\chips\VV\015_11.tif,data\chips\VH\015_11.tif,data\dem\015_11.tif,data\pwater\015_11.tif,data\labels\015_11.tif,55.01708984375
data\chips\VV\016_00.tif,data\chips\VH\016_00.tif,data\dem\016_00.tif,data\pwater\016_00.tif,data\labels\016_00.tif,67.06390380859375
data\chips\VV\016_01.tif,data\chips\VH\016_01.tif,data\dem\016_01.tif,data\pwater\016_01.tif,data\labels\016_01.tif,51.61895751953125
data\chips\VV\016_10.tif,data\chips\VH\016_10.tif,data\dem\016_10.tif,data\pwater\016_10.tif,data\labels\016_10.tif,28.97186279296875
data\chips\VV\016_11.tif,data\chips\VH\016_11.tif,data\dem\016_11.tif,data\pwater\016_11.tif,data\labels\016_11.tif,25.048828125
data\chips\VV\017_00.tif,data\chips\VH\017_00.tif,data\dem\017_00.tif,data\pwater\017_00.tif,data\labels\017_00.tif,4.39605712890625
data\chips\VV\017_01.tif,data\chips\VH\017_01.tif,data\dem\017_01.tif,data\pwater\017_01.tif,data\labels\017_01.tif,0.25177001953125
data\chips\VV\017_10.tif,data\chips\VH\017_10.tif,data\dem\017_10.tif,data\pwater\017_10.tif,data\labels\017_10.tif,4.06951904296875
data\chips\VV\017_11.tif,data\chips\VH\017_11.tif,data\dem\017_11.tif,data\pwater\017_11.tif,data\labels\017_11.tif,0.0
data\chips\VV\018_00.tif,data\chips\VH\018_00.tif,data\dem\018_00.tif,data\pwater\018_00.tif,data\labels\018_00.tif,4.95147705078125
data\chips\VV\018_01.tif,data\chips\VH\018_01.tif,data\dem\018_01.tif,data\pwater\018_01.tif,data\labels\018_01.tif,3.02886962890625
data\chips\VV\018_10.tif,data\chips\VH\018_10.tif,data\dem\018_10.tif,data\pwater\018_10.tif,data\labels\018_10.tif,2.4871826171875
data\chips\VV\018_11.tif,data\chips\VH\018_11.tif,data\dem\018_11.tif,data\pwater\018_11.tif,data\labels\018_11.tif,1.93023681640625
data\chips\VV\019_00.tif,data\chips\VH\019_00.tif,data\dem\019_00.tif,data\pwater\019_00.tif,data\labels\019_00.tif,67.1478271484375
data\chips\VV\019_01.tif,data\chips\VH\019_01.tif,data\dem\019_01.tif,data\pwater\019_01.tif,data\labels\019_01.tif,97.69744873046875
data\chips\VV\019_10.tif,data\chips\VH\019_10.tif,data\dem\019_10.tif,data\pwater\019_10.tif,data\labels\019_10.tif,60.6689453125
data\chips\VV\019_11.tif,data\chips\VH\019_11.tif,data\dem\019_11.tif,data\pwater\019_11.tif,data\labels\019_11.tif,33.831787109375
data\chips\VV\020_00.tif,data\chips\VH\020_00.tif,data\dem\020_00.tif,data\pwater\020_00.tif,data\labels\020_00.tif,0.9124755859375
data\chips\VV\020_01.tif,data\chips\VH\020_01.tif,data\dem\020_01.tif,data\pwater\020_01.tif,data\labels\020_01.tif,0.531005859375
data\chips\VV\020_10.tif,data\chips\VH\020_10.tif,data\dem\020_10.tif,data\pwater\020_10.tif,data\labels\020_10.tif,0.5615234375
data\chips\VV\020_11.tif,data\chips\VH\020_11.tif,data\dem\020_11.tif,data\pwater\020_11.tif,data\labels\020_11.tif,0.55389404296875
data\chips\VV\021_00.tif,data\chips\VH\021_00.tif,data\dem\021_00.tif,data\pwater\021_00.tif,data\labels\021_00.tif,1.24969482421875
data\chips\VV\021_01.tif,data\chips\VH\021_01.tif,data\dem\021_01.tif,data\pwater\021_01.tif,data\labels\021_01.tif,0.62103271484375
data\chips\VV\021_10.tif,data\chips\VH\021_10.tif,data\dem\021_10.tif,data\pwater\021_10.tif,data\labels\021_10.tif,2.1484375
data\chips\VV\021_11.tif,data\chips\VH\021_11.tif,data\dem\021_11.tif,data\pwater\021_11.tif,data\labels\021_11.tif,4.69512939453125
data\chips\VV\022_00.tif,data\chips\VH\022_00.tif,data\dem\022_00.tif,data\pwater\022_00.tif,data\labels\022_00.tif,6.67266845703125
data\chips\VV\022_01.tif,data\chips\VH\022_01.tif,data\dem\022_01.tif,data\pwater\022_01.tif,data\labels\022_01.tif,3.28826904296875
data\chips\VV\022_10.tif,data\chips\VH\022_10.tif,data\dem\022_10.tif,data\pwater\022_10.tif,data\labels\022_10.tif,0.0
data\chips\VV\022_11.tif,data\chips\VH\022_11.tif,data\dem\022_11.tif,data\pwater\022_11.tif,data\labels\022_11.tif,2.67181396484375
data\chips\VV\023_00.tif,data\chips\VH\023_00.tif,data\dem\023_00.tif,data\pwater\023_00.tif,data\labels\023_00.tif,8.89739990234375
data\chips\VV\023_01.tif,data\chips\VH\023_01.tif,data\dem\023_01.tif,data\pwater\023_01.tif,data\labels\023_01.tif,3.8665771484375
data\chips\VV\023_10.tif,data\chips\VH\023_10.tif,data\dem\023_10.tif,data\pwater\023_10.tif,data\labels\023_10.tif,13.8397216796875
data\chips\VV\023_11.tif,data\chips\VH\023_11.tif,data\dem\023_11.tif,data\pwater\023_11.tif,data\labels\023_11.tif,15.48614501953125
data\chips\VV\024_00.tif,data\chips\VH\024_00.tif,data\dem\024_00.tif,data\pwater\024_00.tif,data\labels\024_00.tif,32.80792236328125
data\chips\VV\024_01.tif,data\chips\VH\024_01.tif,data\dem\024_01.tif,data\pwater\024_01.tif,data\labels\024_01.tif,2.7496337890625
data\chips\VV\024_10.tif,data\chips\VH\024_10.tif,data\dem\024_10.tif,data\pwater\024_10.tif,data\labels\024_10.tif,29.7332763671875
data\chips\VV\024_11.tif,data\chips\VH\024_11.tif,data\dem\024_11.tif,data\pwater\024_11.tif,data\labels\024_11.tif,9.60235595703125
data\chips\VV\025_00.tif,data\chips\VH\025_00.tif,data\dem\025_00.tif,data\pwater\025_00.tif,data\labels\025_00.tif,5.27801513671875
data\chips\VV\025_01.tif,data\chips\VH\025_01.tif,data\dem\025_01.tif,data\pwater\025_01.tif,data\labels\025_01.tif,1.60675048828125
data\chips\VV\025_10.tif,data\chips\VH\025_10.tif,data\dem\025_10.tif,data\pwater\025_10.tif,data\labels\025_10.tif,7.50885009765625
data\chips\VV\025_11.tif,data\chips\VH\025_11.tif,data\dem\025_11.tif,data\pwater\025_11.tif,data\labels\025_11.tif,0.0
data\chips\VV\026_00.tif,data\chips\VH\026_00.tif,data\dem\026_00.tif,data\pwater\026_00.tif,data\labels\026_00.tif,2.71148681640625
data\chips\VV\026_01.tif,data\chips\VH\026_01.tif,data\dem\026_01.tif,data\pwater\026_01.tif,data\labels\026_01.tif,1.28936767578125
data\chips\VV\026_10.tif,data\chips\VH\026_10.tif,data\dem\026_10.tif,data\pwater\026_10.tif,data\labels\026_10.tif,4.302978515625
data\chips\VV\026_11.tif,data\chips\VH\026_11.tif,data\dem\026_11.tif,data\pwater\026_11.tif,data\labels\026_11.tif,1.0711669921875
data\chips\VV\027_00.tif,data\chips\VH\027_00.tif,data\dem\027_00.tif,data\pwater\027_00.tif,data\labels\027_00.tif,20.697021484375
data\chips\VV\027_01.tif,data\chips\VH\027_01.tif,data\dem\027_01.tif,data\pwater\027_01.tif,data\labels\027_01.tif,14.06097412109375
data\chips\VV\027_10.tif,data\chips\VH\027_10.tif,data\dem\027_10.tif,data\pwater\027_10.tif,data\labels\027_10.tif,1.58843994140625
data\chips\VV\027_11.tif,data\chips\VH\027_11.tif,data\dem\027_11.tif,data\pwater\027_11.tif,data\labels\027_11.tif,2.72979736328125
data\chips\VV\028_00.tif,data\chips\VH\028_00.tif,data\dem\028_00.tif,data\pwater\028_00.tif,data\labels\028_00.tif,24.71466064453125
data\chips\VV\028_01.tif,data\chips\VH\028_01.tif,data\dem\028_01.tif,data\pwater\028_01.tif,data\labels\028_01.tif,11.73095703125
data\chips\VV\028_10.tif,data\chips\VH\028_10.tif,data\dem\028_10.tif,data\pwater\028_10.tif,data\labels\028_10.tif,34.5916748046875
data\chips\VV\028_11.tif,data\chips\VH\028_11.tif,data\dem\028_11.tif,data\pwater\028_11.tif,data\labels\028_11.tif,31.1553955078125
data\chips\VV\029_00.tif,data\chips\VH\029_00.tif,data\dem\029_00.tif,data\pwater\029_00.tif,data\labels\029_00.tif,9.4329833984375
data\chips\VV\029_01.tif,data\chips\VH\029_01.tif,data\dem\029_01.tif,data\pwater\029_01.tif,data\labels\029_01.tif,1.702880859375
data\chips\VV\029_10.tif,data\chips\VH\029_10.tif,data\dem\029_10.tif,data\pwater\029_10.tif,data\labels\029_10.tif,54.5623779296875
data\chips\VV\029_11.tif,data\chips\VH\029_11.tif,data\dem\029_11.tif,data\pwater\029_11.tif,data\labels\029_11.tif,0.23345947265625
data\chips\VV\030_00.tif,data\chips\VH\030_00.tif,data\dem\030_00.tif,data\pwater\030_00.tif,data\labels\030_00.tif,84.78546142578125
data\chips\VV\030_01.tif,data\chips\VH\030_01.tif,data\dem\030_01.tif,data\pwater\030_01.tif,data\labels\030_01.tif,49.0692138671875
data\chips\VV\030_10.tif,data\chips\VH\030_10.tif,data\dem\030_10.tif,data\pwater\030_10.tif,data\labels\030_10.tif,29.4158935546875
data\chips\VV\030_11.tif,data\chips\VH\030_11.tif,data\dem\030_11.tif,data\pwater\030_11.tif,data\labels\030_11.tif,5.79376220703125
data\chips\VV\031_00.tif,data\chips\VH\031_00.tif,data\dem\031_00.tif,data\pwater\031_00.tif,data\labels\031_00.tif,38.56201171875
data\chips\VV\031_01.tif,data\chips\VH\031_01.tif,data\dem\031_01.tif,data\pwater\031_01.tif,data\labels\031_01.tif,7.00836181640625
data\chips\VV\031_10.tif,data\chips\VH\031_10.tif,data\dem\031_10.tif,data\pwater\031_10.tif,data\labels\031_10.tif,14.764404296875
data\chips\VV\031_11.tif,data\chips\VH\031_11.tif,data\dem\031_11.tif,data\pwater\031_11.tif,data\labels\031_11.tif,12.22991943359375
data\chips\VV\032_00.tif,data\chips\VH\032_00.tif,data\dem\032_00.tif,data\pwater\032_00.tif,data\labels\032_00.tif,1.165771484375
data\chips\VV\032_01.tif,data\chips\VH\032_01.tif,data\dem\032_01.tif,data\pwater\032_01.tif,data\labels\032_01.tif,0.8575439453125
data\chips\VV\032_10.tif,data\chips\VH\032_10.tif,data\dem\032_10.tif,data\pwater\032_10.tif,data\labels\032_10.tif,0.0
data\chips\VV\032_11.tif,data\chips\VH\032_11.tif,data\dem\032_11.tif,data\pwater\032_11.tif,data\labels\032_11.tif,0.0
data\chips\VV\033_00.tif,data\chips\VH\033_00.tif,data\dem\033_00.tif,data\pwater\033_00.tif,data\labels\033_00.tif,1.2481689453125
data\chips\VV\033_01.tif,data\chips\VH\033_01.tif,data\dem\033_01.tif,data\pwater\033_01.tif,data\labels\033_01.tif,1.21612548828125
data\chips\VV\033_10.tif,data\chips\VH\033_10.tif,data\dem\033_10.tif,data\pwater\033_10.tif,data\labels\033_10.tif,4.7515869140625
data\chips\VV\033_11.tif,data\chips\VH\033_11.tif,data\dem\033_11.tif,data\pwater\033_11.tif,data\labels\033_11.tif,2.79388427734375
data\chips\VV\034_00.tif,data\chips\VH\034_00.tif,data\dem\034_00.tif,data\pwater\034_00.tif,data\labels\034_00.tif,0.54168701171875
data\chips\VV\034_01.tif,data\chips\VH\034_01.tif,data\dem\034_01.tif,data\pwater\034_01.tif,data\labels\034_01.tif,0.09918212890625
data\chips\VV\034_10.tif,data\chips\VH\034_10.tif,data\dem\034_10.tif,data\pwater\034_10.tif,data\labels\034_10.tif,0.09765625
data\chips\VV\034_11.tif,data\chips\VH\034_11.tif,data\dem\034_11.tif,data\pwater\034_11.tif,data\labels\034_11.tif,0.6439208984375
data\chips\VV\035_00.tif,data\chips\VH\035_00.tif,data\dem\035_00.tif,data\pwater\035_00.tif,data\labels\035_00.tif,58.3465576171875
data\chips\VV\035_01.tif,data\chips\VH\035_01.tif,data\dem\035_01.tif,data\pwater\035_01.tif,data\labels\035_01.tif,52.54058837890625
data\chips\VV\035_10.tif,data\chips\VH\035_10.tif,data\dem\035_10.tif,data\pwater\035_10.tif,data\labels\035_10.tif,44.1436767578125
data\chips\VV\035_11.tif,data\chips\VH\035_11.tif,data\dem\035_11.tif,data\pwater\035_11.tif,data\labels\035_11.tif,45.66497802734375
data\chips\VV\036_00.tif,data\chips\VH\036_00.tif,data\dem\036_00.tif,data\pwater\036_00.tif,data\labels\036_00.tif,1.20849609375
data\chips\VV\036_01.tif,data\chips\VH\036_01.tif,data\dem\036_01.tif,data\pwater\036_01.tif,data\labels\036_01.tif,0.70648193359375
data\chips\VV\036_10.tif,data\chips\VH\036_10.tif,data\dem\036_10.tif,data\pwater\036_10.tif,data\labels\036_10.tif,0.0
data\chips\VV\036_11.tif,data\chips\VH\036_11.tif,data\dem\036_11.tif,data\pwater\036_11.tif,data\labels\036_11.tif,0.0
data\chips\VV\037_00.tif,data\chips\VH\037_00.tif,data\dem\037_00.tif,data\pwater\037_00.tif,data\labels\037_00.tif,38.72833251953125
data\chips\VV\037_01.tif,data\chips\VH\037_01.tif,data\dem\037_01.tif,data\pwater\037_01.tif,data\labels\037_01.tif,22.54791259765625
data\chips\VV\037_10.tif,data\chips\VH\037_10.tif,data\dem\037_10.tif,data\pwater\037_10.tif,data\labels\037_10.tif,39.36614990234375
data\chips\VV\037_11.tif,data\chips\VH\037_11.tif,data\dem\037_11.tif,data\pwater\037_11.tif,data\labels\037_11.tif,33.04443359375
data\chips\VV\038_00.tif,data\chips\VH\038_00.tif,data\dem\038_00.tif,data\pwater\038_00.tif,data\labels\038_00.tif,0.0
data\chips\VV\038_01.tif,data\chips\VH\038_01.tif,data\dem\038_01.tif,data\pwater\038_01.tif,data\labels\038_01.tif,0.0
data\chips\VV\038_10.tif,data\chips\VH\038_10.tif,data\dem\038_10.tif,data\pwater\038_10.tif,data\labels\038_10.tif,0.43487548828125
data\chips\VV\038_11.tif,data\chips\VH\038_11.tif,data\dem\038_11.tif,data\pwater\038_11.tif,data\labels\038_11.tif,0.0518798828125
data\chips\VV\039_00.tif,data\chips\VH\039_00.tif,data\dem\039_00.tif,data\pwater\039_00.tif,data\labels\039_00.tif,1.85089111328125
data\chips\VV\039_01.tif,data\chips\VH\039_01.tif,data\dem\039_01.tif,data\pwater\039_01.tif,data\labels\039_01.tif,0.872802734375
data\chips\VV\039_10.tif,data\chips\VH\039_10.tif,data\dem\039_10.tif,data\pwater\039_10.tif,data\labels\039_10.tif,3.8726806640625
data\chips\VV\039_11.tif,data\chips\VH\039_11.tif,data\dem\039_11.tif,data\pwater\039_11.tif,data\labels\039_11.tif,0.33416748046875
data\chips\VV\040_00.tif,data\chips\VH\040_00.tif,data\dem\040_00.tif,data\pwater\040_00.tif,data\labels\040_00.tif,2.7862548828125
data\chips\VV\040_01.tif,data\chips\VH\040_01.tif,data\dem\040_01.tif,data\pwater\040_01.tif,data\labels\040_01.tif,0.98876953125
data\chips\VV\040_10.tif,data\chips\VH\040_10.tif,data\dem\040_10.tif,data\pwater\040_10.tif,data\labels\040_10.tif,0.42266845703125
data\chips\VV\040_11.tif,data\chips\VH\040_11.tif,data\dem\040_11.tif,data\pwater\040_11.tif,data\labels\040_11.tif,0.0
data\chips\VV\041_00.tif,data\chips\VH\041_00.tif,data\dem\041_00.tif,data\pwater\041_00.tif,data\labels\041_00.tif,0.0
data\chips\VV\041_01.tif,data\chips\VH\041_01.tif,data\dem\041_01.tif,data\pwater\041_01.tif,data\labels\041_01.tif,0.0
data\chips\VV\041_10.tif,data\chips\VH\041_10.tif,data\dem\041_10.tif,data\pwater\041_10.tif,data\labels\041_10.tif,0.0
data\chips\VV\041_11.tif,data\chips\VH\041_11.tif,data\dem\041_11.tif,data\pwater\041_11.tif,data\labels\041_11.tif,0.3997802734375
data\chips\VV\042_00.tif,data\chips\VH\042_00.tif,data\dem\042_00.tif,data\pwater\042_00.tif,data\labels\042_00.tif,11.3006591796875
data\chips\VV\042_01.tif,data\chips\VH\042_01.tif,data\dem\042_01.tif,data\pwater\042_01.tif,data\labels\042_01.tif,18.42041015625
data\chips\VV\042_10.tif,data\chips\VH\042_10.tif,data\dem\042_10.tif,data\pwater\042_10.tif,data\labels\042_10.tif,4.8614501953125
data\chips\VV\042_11.tif,data\chips\VH\042_11.tif,data\dem\042_11.tif,data\pwater\042_11.tif,data\labels\042_11.tif,19.3267822265625
data\chips\VV\043_00.tif,data\chips\VH\043_00.tif,data\dem\043_00.tif,data\pwater\043_00.tif,data\labels\043_00.tif,6.2042236328125
data\chips\VV\043_01.tif,data\chips\VH\043_01.tif,data\dem\043_01.tif,data\pwater\043_01.tif,data\labels\043_01.tif,1.65863037109375
data\chips\VV\043_10.tif,data\chips\VH\043_10.tif,data\dem\043_10.tif,data\pwater\043_10.tif,data\labels\043_10.tif,5.4046630859375
data\chips\VV\043_11.tif,data\chips\VH\043_11.tif,data\dem\043_11.tif,data\pwater\043_11.tif,data\labels\043_11.tif,1.36871337890625
data\chips\VV\044_00.tif,data\chips\VH\044_00.tif,data\dem\044_00.tif,data\pwater\044_00.tif,data\labels\044_00.tif,1.544189453125
data\chips\VV\044_01.tif,data\chips\VH\044_01.tif,data\dem\044_01.tif,data\pwater\044_01.tif,data\labels\044_01.tif,2.02484130859375
data\chips\VV\044_10.tif,data\chips\VH\044_10.tif,data\dem\044_10.tif,data\pwater\044_10.tif,data\labels\044_10.tif,4.2724609375
data\chips\VV\044_11.tif,data\chips\VH\044_11.tif,data\dem\044_11.tif,data\pwater\044_11.tif,data\labels\044_11.tif,6.9061279296875
data\chips\VV\045_00.tif,data\chips\VH\045_00.tif,data\dem\045_00.tif,data\pwater\045_00.tif,data\labels\045_00.tif,66.56646728515625
data\chips\VV\045_01.tif,data\chips\VH\045_01.tif,data\dem\045_01.tif,data\pwater\045_01.tif,data\labels\045_01.tif,48.2452392578125
data\chips\VV\045_10.tif,data\chips\VH\045_10.tif,data\dem\045_10.tif,data\pwater\045_10.tif,data\labels\045_10.tif,30.43975830078125
data\chips\VV\045_11.tif,data\chips\VH\045_11.tif,data\dem\045_11.tif,data\pwater\045_11.tif,data\labels\045_11.tif,22.78289794921875
data\chips\VV\046_00.tif,data\chips\VH\046_00.tif,data\dem\046_00.tif,data\pwater\046_00.tif,data\labels\046_00.tif,0.96435546875
data\chips\VV\046_01.tif,data\chips\VH\046_01.tif,data\dem\046_01.tif,data\pwater\046_01.tif,data\labels\046_01.tif,0.2655029296875
data\chips\VV\046_10.tif,data\chips\VH\046_10.tif,data\dem\046_10.tif,data\pwater\046_10.tif,data\labels\046_10.tif,0.0
data\chips\VV\046_11.tif,data\chips\VH\046_11.tif,data\dem\046_11.tif,data\pwater\046_11.tif,data\labels\046_11.tif,0.0
